user,cs_uri_stem,date,time
Ryu,/Sf7/basesf/FightServer/tile/0/106/150,2016-02-01,00:55:58
Ryu,/Sf7/basesf/FightServer/tile/0/107/150,2016-02-01,00:55:58
Ryu,/Sf7/basesf/FightServer/tile/0/108/150,2016-02-01,00:55:58
Ryu,/Sf7/basesf/FightServer/tile/0/106/151,2016-02-01,00:55:58
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:55:58
Ryu,/Sf7/basesf/FightServer/tile/0/107/151,2016-02-01,00:55:58
Ryu,/Sf7/Fight/BackGround,2016-02-01,00:55:58
Ryu,/Sf7/basesf/FightServer/tile/0/108/151,2016-02-01,00:55:58
Ryu,/Sf7/basesf/FightServer/tile/0/107/147,2016-02-01,00:55:58
Ryu,/Sf7/basesf/FightServer/tile/0/106/147,2016-02-01,00:55:58
Ryu,/Sf7/basesf/FightServer/tile/0/108/147,2016-02-01,00:55:58
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:55:58
Ryu,/Sf7/basesf/FightServer/tile/0/107/152,2016-02-01,00:55:58
Ryu,/Sf7/basesf/FightServer/tile/0/106/152,2016-02-01,00:55:58
Ryu,/Sf7/common_cache/FightServer/tile/0/106/148,2016-02-01,00:55:58
Ryu,/Sf7/basesf/FightServer/tile/0/108/152,2016-02-01,00:55:58
Ryu,/Sf7/common_cache/FightServer/tile/0/107/148,2016-02-01,00:55:58
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:55:58
Ryu,/Sf7/common_cache/FightServer/tile/0/108/148,2016-02-01,00:55:58
Ryu,/Sf7/common_cache/FightServer/tile/0/106/149,2016-02-01,00:55:58
Ryu,/Sf7/common_cache/FightServer/tile/0/107/149,2016-02-01,00:55:58
Ryu,/Sf7/common_cache/FightServer/tile/0/107/150,2016-02-01,00:55:58
Ryu,/Sf7/common_cache/FightServer/tile/0/108/149,2016-02-01,00:55:58
Ryu,/Sf7/common_cache/FightServer/tile/0/106/150,2016-02-01,00:55:58
Ryu,/Sf7/common_cache/FightServer/tile/0/108/150,2016-02-01,00:55:58
Ryu,/Sf7/common_cache/FightServer/tile/0/107/151,2016-02-01,00:55:58
Ryu,/Sf7/common_cache/FightServer/tile/0/106/151,2016-02-01,00:55:58
Ryu,/Sf7/common_cache/FightServer/tile/0/108/151,2016-02-01,00:56:00
Ryu,/Sf7/common_cache/FightServer/tile/0/107/152,2016-02-01,00:56:00
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:55:58
Ryu,/Sf7/common_cache/FightServer/tile/0/106/152,2016-02-01,00:56:00
Ryu,/Sf7/common_cache/FightServer/tile/0/108/152,2016-02-01,00:56:00
Ryu,/Sf7/tohoku02/FightServer/0/query,2016-02-01,00:56:09
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:56:09
Ryu,/Sf7/address02/FightServer/0/query,2016-02-01,00:56:09
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:56:10
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:56:10
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:56:10
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:56:10
Ryu,/Sf7/common02/FightServer/2/query,2016-02-01,00:56:10
Ryu,/Sf7/common02/FightServer/2/query,2016-02-01,00:56:10
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:56:10
Ryu,/Sf7/common02/FightServer/2/query,2016-02-01,00:56:10
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:56:10
Ryu,/Sf7/common02/FightServer/2/query,2016-02-01,00:56:10
Ryu,/Sf7/common02/FightServer/0/query,2016-02-01,00:56:10
Ryu,/Sf7/common02/FightServer/2/query,2016-02-01,00:56:10
Ryu,/Sf7/common02/FightServer/0/query,2016-02-01,00:56:10
Ryu,/Sf7/common02/FightServer/0/query,2016-02-01,00:56:10
Ryu,/Sf7/common02/FightServer/0/query,2016-02-01,00:56:10
Ryu,/Sf7/common02/FightServer/0/query,2016-02-01,00:56:10
Ryu,/Sf7/common02/FightServer/0/query,2016-02-01,00:56:10
Ryu,/Sf7/common02/FightServer/1/query,2016-02-01,00:56:11
Ryu,/Sf7/common02/FightServer/1/query,2016-02-01,00:56:11
Ryu,/Sf7/common02/FightServer/1/query,2016-02-01,00:56:11
Ryu,/Sf7/common02/FightServer/1/query,2016-02-01,00:56:11
Ryu,/Sf7/common02/FightServer/3/query,2016-02-01,00:56:11
Ryu,/Sf7/common02/FightServer/1/query,2016-02-01,00:56:11
Ryu,/Sf7/common02/FightServer/1/query,2016-02-01,00:56:11
Ryu,/Sf7/common02/FightServer/3/query,2016-02-01,00:56:11
Ryu,/Sf7/common02/FightServer/3/query,2016-02-01,00:56:11
Ryu,/Sf7/common02/FightServer/3/query,2016-02-01,00:56:11
Ryu,/Sf7/tohoku02/FightServer/0/query,2016-02-01,00:56:11
Ryu,/Sf7/tohoku02/FightServer/0/query,2016-02-01,00:56:11
Ryu,/Sf7/common02/FightServer/3/query,2016-02-01,00:56:11
Ryu,/Sf7/tohoku02/FightServer/0/query,2016-02-01,00:56:12
Ryu,/Sf7/tohoku02/FightServer/0/query,2016-02-01,00:56:12
Ryu,/Sf7/tohoku02/FightServer/0/query,2016-02-01,00:56:12
Ryu,/Sf7/common02/FightServer/3/query,2016-02-01,00:56:12
Ryu,/Sf7/tohoku02/FightServer/6/query,2016-02-01,00:56:12
Ryu,/Sf7/tohoku02/FightServer/0/query,2016-02-01,00:56:12
Ryu,/Sf7/tohoku02/FightServer/6/query,2016-02-01,00:56:12
Ryu,/Sf7/tohoku02/FightServer/6/query,2016-02-01,00:56:12
Ryu,/Sf7/tohoku02/FightServer/6/query,2016-02-01,00:56:12
Ryu,/Sf7/tohoku02/FightServer/6/query,2016-02-01,00:56:12
Ryu,/Sf7/common02/FightServer/0/query,2016-02-01,00:56:12
Ryu,/Sf7/tohoku02/FightServer/6/query,2016-02-01,00:56:12
Ryu,/Sf7/common02/FightServer/0/query,2016-02-01,00:56:12
Ryu,/Sf7/common02/FightServer/0/query,2016-02-01,00:56:12
Ryu,/Sf7/common02/FightServer/0/query,2016-02-01,00:56:12
Ryu,/Sf7/common02/FightServer/0/query,2016-02-01,00:56:12
Ryu,/Sf7/common02/FightServer/0/query,2016-02-01,00:56:12
Ryu,/Sf7/common02/FightServer/1/query,2016-02-01,00:56:12
Ryu,/Sf7/common02/FightServer/1/query,2016-02-01,00:56:13
Ryu,/Sf7/common02/FightServer/1/query,2016-02-01,00:56:13
Ryu,/Sf7/common02/FightServer/1/query,2016-02-01,00:56:13
Ryu,/Sf7/common02/FightServer/1/query,2016-02-01,00:56:13
Ryu,/Sf7/common02/FightServer/3/query,2016-02-01,00:56:13
Ryu,/Sf7/common02/FightServer/1/query,2016-02-01,00:56:13
Ryu,/Sf7/Fight/BackGround,2016-02-01,00:56:13
Ryu,/Sf7/common02/FightServer/3/query,2016-02-01,00:56:13
Ryu,/Sf7/common02/FightServer/3/query,2016-02-01,00:56:13
Ryu,/Sf7/common02/FightServer/3/query,2016-02-01,00:56:13
Ryu,/Sf7/common02/FightServer/3/query,2016-02-01,00:56:13
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:56:13
